Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
M6IN Double Extra Large,m6in.2xlarge,"136,518.771",General purpose,56.0 fps,32 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.5569 hourly,$0.3509 hourly,$0.1814 hourly,$0.9249 hourly,$0.3509 hourly
M6IN 32xlarge,m6in.32xlarge,"2,206,611.214",General purpose,220.0 fps,512 GiB,128 vCPUs,EBS only,200 Gigabit,$8.9107 hourly,$5.6138 hourly,$1.924 hourly,$14.7987 hourly,$11.5018 hourly
M6IN Quadruple Extra Large,m6in.4xlarge,"266,866.817",General purpose,107.0 fps,64 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$1.1138 hourly,$0.7017 hourly,$0.3656 hourly,$1.8498 hourly,$1.4377 hourly
M6IN Eight Extra Large,m6in.8xlarge,"568,282.721",General purpose,178.0 fps,128 GiB,32 vCPUs,EBS only,50 Gigabit,$2.2277 hourly,$1.4034 hourly,$0.7502 hourly,$3.6997 hourly,$1.4034 hourly
M6IN Large,m6in.large,"32,420.165",General purpose,14.0 fps,8 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1392 hourly,$0.0877 hourly,$0.035 hourly,$0.2312 hourly,$0.1797 hourly
M6IN Metal,m6in.metal,"2,559,744.026",General purpose,256.0 fps,512 GiB,128 vCPUs,EBS only,200 Gigabit,$8.9107 hourly,$5.6138 hourly,$1.1914 hourly,$14.7987 hourly,$11.5018 hourly
M6IN Extra Large,m6in.xlarge,"68,769.879",General purpose,28.0 fps,16 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.2785 hourly,$0.1754 hourly,$0.0987 hourly,$0.4625 hourly,$0.3594 hourly
M7A 12xlarge Extra Large,m7a.12xlarge,"1,543,408.36",General purpose,308.0 fps,192 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.7821 hourly,$1.8404 hourly,$0.9309 hourly,$4.9901 hourly,$4.0484 hourly
M7A 16xlarge Extra Large,m7a.16xlarge,"1,932,756.191",General purpose,302.0 fps,256 GiB,64 vCPUs,EBS only,25 Gigabit,$3.7094 hourly,$2.4538 hourly,$1.0932 hourly,$6.6534 hourly,$5.3978 hourly
M7A 24xlarge,m7a.24xlarge,"2,714,420.358",General purpose,311.0 fps,384 GiB,96 vCPUs,EBS only,37.5 Gigabit,$5.5642 hourly,$3.6807 hourly,$1.7754 hourly,$9.9802 hourly,$8.0967 hourly
M7A Double Extra Large,m7a.2xlarge,"262,826.48",General purpose,104.0 fps,32 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4637 hourly,$0.3067 hourly,$0.172 hourly,$0.8317 hourly,$0.6747 hourly
M7A 32xlarge,m7a.32xlarge,"4,116,638.079",General purpose,296.0 fps,512 GiB,128 vCPUs,EBS only,50 Gigabit,$7.4189 hourly,$4.9076 hourly,$2.1576 hourly,$13.3069 hourly,$10.7956 hourly
M7A 48xlarge,m7a.48xlarge,"5,871,260.384",General purpose,300.0 fps,768 GiB,192 vCPUs,EBS only,50 Gigabit,$11.1283 hourly,$7.3614 hourly,$2.8478 hourly,$19.9603 hourly,$16.1934 hourly
M7A Quadruple Extra Large,m7a.4xlarge,"511,617.992",General purpose,189.0 fps,64 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.9274 hourly,$0.6135 hourly,$0.3894 hourly,$1.6634 hourly,$1.3495 hourly
M7A Eight Extra Large,m7a.8xlarge,"1,087,079.606",General purpose,281.0 fps,128 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.8547 hourly,$1.2269 hourly,$0.6505 hourly,$3.3267 hourly,$2.6989 hourly
M7A Large,m7a.large,"67,950.17",General purpose,27.0 fps,8 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1159 hourly,$0.0767 hourly,$0.0414 hourly,$0.2079 hourly,$0.1687 hourly
M7A Medium,m7a.medium,"32,470.168",General purpose,,4 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.058 hourly,$0.0383 hourly,$0.0148 hourly,$0.104 hourly,$0.0843 hourly
M7A Metal-48xl,m7a.metal-48xl,"6,428,571.429",General purpose,320.0 fps,768 GiB,192 vCPUs,EBS only,50 Gigabit,$11.1283 hourly,$7.3614 hourly,$2.3472 hourly,$19.9603 hourly,$16.1934 hourly
M7A Extra Large,m7a.xlarge,"131,219.245",General purpose,55.0 fps,16 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2318 hourly,$0.1534 hourly,$0.0834 hourly,$0.4158 hourly,$0.3374 hourly
M7G 12xlarge Extra Large,m7g.12xlarge,"1,244,732.577",General purpose,239.0 fps,192 GiB,48 vCPUs,EBS only,22.5 Gigabit,$1.9584 hourly,$1.2955 hourly,$0.6345 hourly,,
M7G 16xlarge Extra Large,m7g.16xlarge,"1,580,051.845",General purpose,242.0 fps,256 GiB,64 vCPUs,EBS only,30 Gigabit,$2.6112 hourly,$1.7273 hourly,$0.7396 hourly,,
M7G Double Extra Large,m7g.2xlarge,"199,153.597",General purpose,73.0 fps,32 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.3264 hourly,$0.2159 hourly,$0.0999 hourly,,
M7G Quadruple Extra Large,m7g.4xlarge,"411,602.032",General purpose,134.0 fps,64 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.6528 hourly,$0.4318 hourly,$0.2017 hourly,,
M7G Eight Extra Large,m7g.8xlarge,"815,390.496",General purpose,213.0 fps,128 GiB,32 vCPUs,EBS only,15 Gigabit,$1.3056 hourly,$0.8637 hourly,$0.4091 hourly,,
M7G Large,m7g.large,"51,659.563",General purpose,19.0 fps,8 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0816 hourly,$0.054 hourly,$0.0267 hourly,,
M7G Medium,m7g.medium,"25,521.055",General purpose,,4 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0408 hourly,$0.027 hourly,$0.0129 hourly,,
M7G Metal,m7g.metal,"1,729,262.362",General purpose,245.0 fps,256 GiB,64 vCPUs,EBS only,30 Gigabit,$2.6112 hourly,$1.7273 hourly,$0.7288 hourly,,
M7G Extra Large,m7g.xlarge,"103,066.22",General purpose,38.0 fps,16 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1632 hourly,$0.108 hourly,$0.0578 hourly,,
M7GD 12xlarge Extra Large,m7gd.12xlarge,"1,247,077.163",General purpose,239.0 fps,192 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),22.5 Gigabit,$2.5628 hourly,$1.6146 hourly,$0.7364 hourly,,
M7GD 16xlarge Extra Large,m7gd.16xlarge,"1,664,499.35",General purpose,242.0 fps,256 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$3.4171 hourly,$2.1528 hourly,$0.903 hourly,,
M7GD Double Extra Large,m7gd.2xlarge,"202,698.423",General purpose,72.0 fps,32 GiB,8 vCPUs,474 GB NVMe SSD,Up to 15 Gigabit,$0.4271 hourly,$0.2691 hourly,$0.1525 hourly,,
M7GD Quadruple Extra Large,m7gd.4xlarge,"405,165.865",General purpose,133.0 fps,64 GiB,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,$0.8543 hourly,$0.5382 hourly,$0.2354 hourly,,
M7GD Eight Extra Large,m7gd.8xlarge,"817,160.368",General purpose,212.0 fps,128 GiB,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,$1.7086 hourly,$1.0764 hourly,$0.5022 hourly,,
M7GD Large,m7gd.large,"49,443.758",General purpose,18.0 fps,8 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1068 hourly,$0.0673 hourly,$0.021 hourly,,
M7GD Medium,m7gd.medium,"24,319.066",General purpose,,4 GiB,1 vCPUs,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0534 hourly,$0.0336 hourly,$0.0077 hourly,,
M7GD Metal,m7gd.metal,"1,523,537.464",General purpose,245.0 fps,256 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$3.4171 hourly,$2.1528 hourly,$0.6853 hourly,,
M7GD Extra Large,m7gd.xlarge,"102,860.816",General purpose,38.0 fps,16 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2136 hourly,$0.1345 hourly,$0.0736 hourly,,
M7I-FLEX 12xlarge Extra Large,m7i-flex.12xlarge,"968,620.724",General purpose,227.0 fps,192 GiB,48 vCPUs,EBS only,Up to 18.75 Gigabit,$2.2982 hourly,$1.5202 hourly,$0.6822 hourly,$4.5062 hourly,$3.7282 hourly
M7I-FLEX 16xlarge Extra Large,m7i-flex.16xlarge,"1,328,489.881",General purpose,210.0 fps,256 GiB,64 vCPUs,EBS only,Up to 25 Gigabit,$3.0643 hourly,$2.0269 hourly,$0.865 hourly,$6.0083 hourly,$4.9709 hourly
M7I-FLEX Double Extra Large,m7i-flex.2xlarge,"157,720.933",General purpose,57.0 fps,32 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.383 hourly,$0.2534 hourly,$0.1228 hourly,$0.7326 hourly,$0.603 hourly
M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,"341,042.311",General purpose,137.0 fps,64 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.7661 hourly,$0.5067 hourly,$0.3073 hourly,$1.4653 hourly,$1.2059 hourly
M7I-FLEX Eight Extra Large,m7i-flex.8xlarge,"735,378.605",General purpose,214.0 fps,128 GiB,32 vCPUs,EBS only,Up to 12.5 Gigabit,$1.5322 hourly,$1.0135 hourly,$0.5732 hourly,$2.9306 hourly,$2.4119 hourly
M7I-FLEX Large,m7i-flex.large,"43,763.676",General purpose,16.0 fps,8 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0958 hourly,$0.0633 hourly,$0.033 hourly,$0.1832 hourly,$0.1507 hourly
M7I-FLEX Extra Large,m7i-flex.xlarge,"78,697.555",General purpose,31.0 fps,16 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1915 hourly,$0.1267 hourly,$0.0669 hourly,$0.3663 hourly,$0.3015 hourly
M7I 12xlarge Extra Large,m7i.12xlarge,"1,068,011.57",General purpose,235.0 fps,192 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.4192 hourly,$1.6003 hourly,$0.6895 hourly,$4.6272 hourly,$3.8083 hourly
M7I 16xlarge Extra Large,m7i.16xlarge,"1,339,566.036",General purpose,231.0 fps,256 GiB,64 vCPUs,EBS only,25 Gigabit,$3.2256 hourly,$2.1337 hourly,$1.0862 hourly,$6.1696 hourly,$5.0777 hourly
M7I 24xlarge,m7i.24xlarge,"2,034,760.492",General purpose,257.0 fps,384 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.8384 hourly,$3.2006 hourly,$2.0931 hourly,$9.2544 hourly,$7.6166 hourly
M7I Double Extra Large,m7i.2xlarge,"163,373.666",General purpose,59.0 fps,32 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4032 hourly,$0.2667 hourly,$0.1788 hourly,$0.7712 hourly,$0.6347 hourly
M7I 48xlarge,m7i.48xlarge,"3,809,523.81",General purpose,268.0 fps,768 GiB,192 vCPUs,EBS only,50 Gigabit,$9.6768 hourly,$6.4012 hourly,$3.9013 hourly,$18.5088 hourly,$15.2332 hourly
M7I Quadruple Extra Large,m7i.4xlarge,"372,381.691",General purpose,126.0 fps,64 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.8064 hourly,$0.5334 hourly,$0.3326 hourly,$1.5424 hourly,$1.2694 hourly
M7I Eight Extra Large,m7i.8xlarge,"699,530.003",General purpose,200.0 fps,128 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.6128 hourly,$1.0669 hourly,$0.61 hourly,$3.0848 hourly,$2.5389 hourly
M7I Large,m7i.large,"46,780.89",General purpose,17.0 fps,8 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1008 hourly,$0.0667 hourly,$0.0366 hourly,$0.1928 hourly,$0.1587 hourly
M7I Metal-24xl,m7i.metal-24xl,"2,055,234.425",General purpose,279.0 fps,384 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.8384 hourly,$3.2006 hourly,$1.3065 hourly,$9.2544 hourly,$7.6166 hourly
M7I Metal-48xl,m7i.metal-48xl,"3,469,461.511",General purpose,303.0 fps,768 GiB,192 vCPUs,EBS only,50 Gigabit,$9.6768 hourly,$6.4012 hourly,$2.8231 hourly,$18.5088 hourly,$15.2332 hourly
M7I Extra Large,m7i.xlarge,"89,171.265",General purpose,32.0 fps,16 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2016 hourly,$0.1334 hourly,$0.0838 hourly,$0.3856 hourly,$0.3174 hourly
M8A 12xlarge Extra Large,m8a.12xlarge,"2,249,392.92",General purpose,417.0 fps,192 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.9213 hourly,,$0.9586 hourly,$5.1293 hourly,
M8A 16xlarge Extra Large,m8a.16xlarge,"2,819,496.175",General purpose,416.0 fps,256 GiB,64 vCPUs,EBS only,30 Gigabit,$3.895 hourly,,$0.8487 hourly,$6.839 hourly,
M8A 24xlarge,m8a.24xlarge,"3,988,819.219",General purpose,416.0 fps,384 GiB,96 vCPUs,EBS only,40 Gigabit,$5.8426 hourly,,$1.7921 hourly,$10.2586 hourly,
M8A Double Extra Large,m8a.2xlarge,"367,787.909",General purpose,130.0 fps,32 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.4869 hourly,,$0.1581 hourly,$0.8549 hourly,
M8A 48xlarge,m8a.48xlarge,"6,962,254.821",General purpose,406.0 fps,768 GiB,192 vCPUs,EBS only,75 Gigabit,$11.6851 hourly,,$2.7951 hourly,$20.5171 hourly,
M8A Quadruple Extra Large,m8a.4xlarge,"771,022.408",General purpose,236.0 fps,64 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.9738 hourly,,$0.355 hourly,$1.7098 hourly,
M8A Eight Extra Large,m8a.8xlarge,"1,391,102.739",General purpose,329.0 fps,128 GiB,32 vCPUs,EBS only,15 Gigabit,$1.9475 hourly,,$0.6202 hourly,$3.4195 hourly,
M8A Large,m8a.large,"94,347.714",General purpose,35.0 fps,8 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1217 hourly,,$0.035 hourly,$0.2137 hourly,
M8A Medium,m8a.medium,"41,172.03",General purpose,,4 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0609 hourly,,$0.0165 hourly,$0.1069 hourly,
M8A Metal-24xl,m8a.metal-24xl,"4,001,667.361",General purpose,443.0 fps,384 GiB,96 vCPUs,EBS only,40 Gigabit,$5.8426 hourly,,$0.8488 hourly,$11.6851 hourly,
M8A Metal-48xl,m8a.metal-48xl,"7,478,488.722",General purpose,426.0 fps,768 GiB,192 vCPUs,EBS only,75 Gigabit,$11.6851 hourly,,$3.3569 hourly,$20.5171 hourly,
M8A Extra Large,m8a.xlarge,"174,418.605",General purpose,71.0 fps,16 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2434 hourly,,$0.0716 hourly,$0.4274 hourly,
M8AZN 12xlarge Extra Large,m8azn.12xlarge,,General purpose,,192 GiB,48 vCPUs,EBS only,100 Gigabit,$4.955 hourly,,$1.5321 hourly,$7.163 hourly,
M8AZN 24xlarge,m8azn.24xlarge,,General purpose,,384 GiB,96 vCPUs,EBS only,200 Gigabit,$9.9101 hourly,,$2.4861 hourly,$14.3261 hourly,
M8AZN 3xlarge,m8azn.3xlarge,,General purpose,,48 GiB,12 vCPUs,EBS only,Up to 50 Gigabit,$1.2388 hourly,,$0.4793 hourly,$1.7908 hourly,
M8AZN 6xlarge,m8azn.6xlarge,,General purpose,,96 GiB,24 vCPUs,EBS only,50 Gigabit,$2.4775 hourly,,$0.9018 hourly,$3.5815 hourly,
M8AZN Large,m8azn.large,,General purpose,,8 GiB,2 vCPUs,EBS only,Up to 30 Gigabit,$0.2065 hourly,,$0.0418 hourly,$0.2985 hourly,
M8AZN Medium,m8azn.medium,,General purpose,,4 GiB,1 vCPUs,EBS only,Up to 25 Gigabit,$0.1032 hourly,,$0.0286 hourly,$0.1492 hourly,
M8AZN Metal-12xl,m8azn.metal-12xl,,General purpose,,192 GiB,48 vCPUs,EBS only,100 Gigabit,$4.955 hourly,,$1.0089 hourly,$7.163 hourly,
M8AZN Metal-24xl,m8azn.metal-24xl,,General purpose,,384 GiB,96 vCPUs,EBS only,200 Gigabit,$9.9101 hourly,,$2.0276 hourly,$14.3261 hourly,
M8AZN Extra Large,m8azn.xlarge,,General purpose,,16 GiB,4 vCPUs,EBS only,Up to 40 Gigabit,$0.4129 hourly,,$0.1313 hourly,$0.5969 hourly,
M8G 12xlarge Extra Large,m8g.12xlarge,"1,434,548.715",General purpose,293.0 fps,192 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.1542 hourly,$1.425 hourly,$0.6241 hourly,,
M8G 16xlarge Extra Large,m8g.16xlarge,"1,941,747.573",General purpose,297.0 fps,256 GiB,64 vCPUs,EBS only,30 Gigabit,$2.8723 hourly,$1.90 hourly,$0.7871 hourly,,
M8G 24xlarge,m8g.24xlarge,"2,983,682.984",General purpose,297.0 fps,384 GiB,96 vCPUs,EBS only,40 Gigabit,$4.3085 hourly,$2.8501 hourly,$1.0455 hourly,,
M8G Double Extra Large,m8g.2xlarge,"240,493.011",General purpose,86.0 fps,32 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.359 hourly,$0.2375 hourly,$0.1049 hourly,,
M8G 48xlarge,m8g.48xlarge,"5,500,250.662",General purpose,277.0 fps,768 GiB,192 vCPUs,EBS only,50 Gigabit,$8.617 hourly,$5.7001 hourly,$2.3638 hourly,,
M8G Quadruple Extra Large,m8g.4xlarge,"511,100.463",General purpose,158.0 fps,64 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.7181 hourly,$0.475 hourly,$0.2269 hourly,,
M8G Eight Extra Large,m8g.8xlarge,"928,815.035",General purpose,255.0 fps,128 GiB,32 vCPUs,EBS only,15 Gigabit,$1.4362 hourly,$0.95 hourly,$0.4779 hourly,,
M8G Large,m8g.large,"62,514.652",General purpose,22.0 fps,8 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0898 hourly,$0.0594 hourly,$0.0269 hourly,,
M8G Medium,m8g.medium,"29,431.241",General purpose,,4 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0449 hourly,$0.0297 hourly,$0.0058 hourly,,
M8G Metal-24xl,m8g.metal-24xl,"2,892,873.286",General purpose,299.0 fps,384 GiB,96 vCPUs,EBS only,40 Gigabit,$4.3085 hourly,$2.8501 hourly,$1.0596 hourly,,
M8G Metal-48xl,m8g.metal-48xl,"4,450,625.869",General purpose,283.0 fps,768 GiB,192 vCPUs,EBS only,50 Gigabit,$8.617 hourly,$5.7001 hourly,$2.2438 hourly,,
M8G Extra Large,m8g.xlarge,"124,678.563",General purpose,45.0 fps,16 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1795 hourly,$0.1188 hourly,$0.055 hourly,,
M8GB 12xlarge Extra Large,m8gb.12xlarge,"1,395,856.052",General purpose,293.0 fps,192 GiB,48 vCPUs,EBS only,100 Gigabit,$3.492 hourly,,$0.867 hourly,,
M8GB 16xlarge Extra Large,m8gb.16xlarge,"1,863,580.112",General purpose,296.0 fps,256 GiB,64 vCPUs,EBS only,133.33 Gigabit,$4.656 hourly,,$0.9776 hourly,,
M8GB 24xlarge,m8gb.24xlarge,"2,891,348.543",General purpose,296.0 fps,384 GiB,96 vCPUs,EBS only,200 Gigabit,$6.984 hourly,,$1.2213 hourly,,
M8GB Double Extra Large,m8gb.2xlarge,"246,153.846",General purpose,82.0 fps,32 GiB,8 vCPUs,EBS only,Up to 33.33 Gigabit,$0.582 hourly,,$0.1577 hourly,,
M8GB 48xlarge,m8gb.48xlarge,"5,283,070.785",General purpose,117.0 fps,768 GiB,192 vCPUs,EBS only,400 Gigabit,$13.968 hourly,,$3.2867 hourly,,
M8GB Quadruple Extra Large,m8gb.4xlarge,"486,285.237",General purpose,160.0 fps,64 GiB,16 vCPUs,EBS only,33.33 Gigabit,$1.164 hourly,,$0.3302 hourly,,
M8GB Eight Extra Large,m8gb.8xlarge,"1,015,873.016",General purpose,218.0 fps,128 GiB,32 vCPUs,EBS only,66.66 Gigabit,$2.328 hourly,,$0.7249 hourly,,
M8GB Large,m8gb.large,"62,348.999",General purpose,22.0 fps,8 GiB,2 vCPUs,EBS only,Up to 20 Gigabit,$0.1455 hourly,,$0.0275 hourly,,
M8GB Medium,m8gb.medium,"30,250.321",General purpose,,4 GiB,1 vCPUs,EBS only,Up to 16.66 Gigabit,$0.0728 hourly,,$0.0086 hourly,,
M8GB Metal-24xl,m8gb.metal-24xl,,General purpose,,384 GiB,96 vCPUs,EBS only,200 Gigabit,,,,,
M8GB Metal-48xl,m8gb.metal-48xl,,General purpose,,768 GiB,192 vCPUs,EBS only,400 Gigabit,,,,,
M8GB Extra Large,m8gb.xlarge,"121,479.007",General purpose,45.0 fps,16 GiB,4 vCPUs,EBS only,Up to 26.66 Gigabit,$0.291 hourly,,$0.0693 hourly,,
M8GD 12xlarge Extra Large,m8gd.12xlarge,,General purpose,,192 GiB,48 vCPUs,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,$2.7677 hourly,,$0.7365 hourly,,
M8GD 16xlarge Extra Large,m8gd.16xlarge,,General purpose,,256 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$3.6902 hourly,,$0.847 hourly,,
M8GD 24xlarge,m8gd.24xlarge,,General purpose,,384 GiB,96 vCPUs,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$5.5354 hourly,,$1.3407 hourly,,
M8GD Double Extra Large,m8gd.2xlarge,,General purpose,,32 GiB,8 vCPUs,474 GB NVMe SSD,Up to 15 Gigabit,$0.4613 hourly,,$0.0843 hourly,,
M8GD 48xlarge,m8gd.48xlarge,,General purpose,,768 GiB,192 vCPUs,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$11.0707 hourly,,$2.7526 hourly,,
M8GD Quadruple Extra Large,m8gd.4xlarge,,General purpose,,64 GiB,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,$0.9226 hourly,,$0.2485 hourly,,
M8GD Eight Extra Large,m8gd.8xlarge,,General purpose,,128 GiB,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,$1.8451 hourly,,$0.5493 hourly,,
M8GD Large,m8gd.large,,General purpose,,8 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1153 hourly,,$0.0182 hourly,,
M8GD Medium,m8gd.medium,,General purpose,,4 GiB,1 vCPUs,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0577 hourly,,$0.0067 hourly,,
M8GD Metal-24xl,m8gd.metal-24xl,,General purpose,,384 GiB,96 vCPUs,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$5.5354 hourly,,$0.7504 hourly,,
M8GD Metal-48xl,m8gd.metal-48xl,,General purpose,,768 GiB,192 vCPUs,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$11.0707 hourly,,$1.5827 hourly,,
M8GD Extra Large,m8gd.xlarge,,General purpose,,16 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2306 hourly,,$0.0545 hourly,,
M8GN 12xlarge Extra Large,m8gn.12xlarge,"1,375,161.152",General purpose,289.0 fps,192 GiB,48 vCPUs,EBS only,150 Gigabit,$3.492 hourly,,$0.8456 hourly,,
M8GN 16xlarge Extra Large,m8gn.16xlarge,"1,925,825.623",General purpose,295.0 fps,256 GiB,64 vCPUs,EBS only,200 Gigabit,$4.656 hourly,,$1.0842 hourly,,
M8GN 24xlarge,m8gn.24xlarge,"2,929,285.224",General purpose,297.0 fps,384 GiB,96 vCPUs,EBS only,300 Gigabit,$6.984 hourly,,$1.3019 hourly,,
M8GN Double Extra Large,m8gn.2xlarge,"243,494.141",General purpose,88.0 fps,32 GiB,8 vCPUs,EBS only,Up to 50 Gigabit,$0.582 hourly,,$0.1458 hourly,,
M8GN 48xlarge,m8gn.48xlarge,"5,357,516.568",General purpose,117.0 fps,768 GiB,192 vCPUs,EBS only,600 Gigabit,$13.968 hourly,,$2.3922 hourly,,
M8GN Quadruple Extra Large,m8gn.4xlarge,"478,111.46",General purpose,161.0 fps,64 GiB,16 vCPUs,EBS only,50 Gigabit,$1.164 hourly,,$0.3242 hourly,,
M8GN Eight Extra Large,m8gn.8xlarge,"998,050.682",General purpose,186.0 fps,128 GiB,32 vCPUs,EBS only,100 Gigabit,$2.328 hourly,,$0.6887 hourly,,
M8GN Large,m8gn.large,"59,435.364",General purpose,22.0 fps,8 GiB,2 vCPUs,EBS only,Up to 30 Gigabit,$0.1455 hourly,,$0.0322 hourly,,
M8GN Medium,m8gn.medium,"30,369.752",General purpose,,4 GiB,1 vCPUs,EBS only,Up to 25 Gigabit,$0.0728 hourly,,$0.0085 hourly,,
M8GN Metal-24xl,m8gn.metal-24xl,,General purpose,,384 GiB,96 vCPUs,EBS only,300 Gigabit,,,,,
M8GN Metal-48xl,m8gn.metal-48xl,,General purpose,,768 GiB,192 vCPUs,EBS only,600 Gigabit,,,,,
M8GN Extra Large,m8gn.xlarge,"125,657.74",General purpose,45.0 fps,16 GiB,4 vCPUs,EBS only,Up to 40 Gigabit,$0.291 hourly,,$0.0678 hourly,,
M8I-FLEX 12xlarge Extra Large,m8i-flex.12xlarge,"1,114,464.825",General purpose,262.0 fps,192 GiB,48 vCPUs,EBS only,Up to 22.5 Gigabit,$2.4132 hourly,,$0.8219 hourly,$4.5108 hourly,
M8I-FLEX 16xlarge Extra Large,m8i-flex.16xlarge,"1,480,967.257",General purpose,263.0 fps,256 GiB,64 vCPUs,EBS only,Up to 30 Gigabit,$3.2176 hourly,,$0.9693 hourly,$6.0144 hourly,
M8I-FLEX Double Extra Large,m8i-flex.2xlarge,"191,563.236",General purpose,75.0 fps,32 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.4022 hourly,,$0.1197 hourly,$0.7518 hourly,
M8I-FLEX Quadruple Extra Large,m8i-flex.4xlarge,"367,830.185",General purpose,144.0 fps,64 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.8044 hourly,,$0.3069 hourly,$1.5036 hourly,
M8I-FLEX Eight Extra Large,m8i-flex.8xlarge,"752,085.863",General purpose,229.0 fps,128 GiB,32 vCPUs,EBS only,Up to 15 Gigabit,$1.6088 hourly,,$0.5688 hourly,$3.0072 hourly,
M8I-FLEX Large,m8i-flex.large,"44,411.547",General purpose,19.0 fps,8 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1006 hourly,,$0.0282 hourly,$0.188 hourly,
M8I-FLEX Extra Large,m8i-flex.xlarge,"99,345.972",General purpose,40.0 fps,16 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2011 hourly,,$0.0585 hourly,$0.3759 hourly,
M8I 12xlarge Extra Large,m8i.12xlarge,"1,109,527.295",General purpose,281.0 fps,192 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.5402 hourly,,$0.8927 hourly,$4.7482 hourly,
M8I 16xlarge Extra Large,m8i.16xlarge,"1,612,496.851",General purpose,284.0 fps,256 GiB,64 vCPUs,EBS only,30 Gigabit,$3.3869 hourly,,$1.192 hourly,$6.3309 hourly,
